BST8;BST_NAME;LAND;LAT;LON
11759;;;;
28100;SWIEBODZIN;;52.247296;15.533572
254581;;;;
824532;;;;
999995;;;;
1135301;MALA LODINA;;;
1940601;GENT RODENHUZE VOLVO;;;
3034603;SOCHACZEW;;52.229337;20.238359
3432203;FLEMALLE-ANNEXE AM P;;;
3842203;TERTRE POLYOL;;;
4572404;KALNA VODA;;;
5007005;ZAJACZKOWO TCZEWSKIE;;;
5259705;ANTW WASSL-ZUID TM;;;
5555805;HORICE V PODKRKONOSI;;;
5836205;CLABECQ DUFERCO;;;
5940205;SAMUIL;;;
6295006;MAUBEUGE;;50.280228;3.9674
7024307;LIMBERG-MAISSAU;;48.57305;15.82976
7345207;PONT-DE-LA-DEULE;;;
7939207;LANGERBRUGGE KRONOS;;;
8096834;SASSNITZ MUKRAN ESB;;54.498264;13.589532
8202804;SASSNITZ-MUKRAN;;54.498264;13.589532
9133009;ABAUJSZANTO;;;
10000000;;FINNLAND;;
10000018;HELSINKI;FINNLAND;60.179985;24.928598
10000075;HELSINKI GR;FINNLAND;60.169856;24.938379
10000109;PASILA;FINNLAND;60.198981;24.932845
10000117;LAENSISATAMA;FINNLAND;60.164384;24.910161
10000125;LAENSISATAMA GR;FINNLAND;;
10000141;SOERNAEINEN;FINNLAND;60.186422;24.968768
10000182;TIKKURILA;FINNLAND;60.287584;25.040178
10000208;KERAVA;FINNLAND;60.400988;25.102038
10000257;JAERVENPAEAE;FINNLAND;60.473944;25.090408
10000307;HYVINKAEAE;FINNLAND;60.400661;24.88637
10000406;RIIHIMAEKI;FINNLAND;60.738494;24.772893
10000422;RYTTYLAE;FINNLAND;61.440169;23.906684
10000448;TURENKI;FINNLAND;60.920089;24.646005
10000471;HAEMEENLINNA;FINNLAND;60.992879;24.459024
10000554;SALO;FINNLAND;60.390937;23.135481
10000596;POHJANKURU;FINNLAND;60.099787;23.550639
10000604;KARJAA;FINNLAND;60.07139;23.661911
10000679;KAUNIAINEN;FINNLAND;60.211724;24.728878
10000703;RAPASAARI SATAWA;FINNLAND;;
10000737;HANKO;FINNLAND;59.831448;22.984242
10000752;LAPPOHJA;FINNLAND;59.902844;23.241803
10000778;MUSTOLA SATAMA;FINNLAND;65.251453;29.24091
10000794;KIRKNIEMI;FINNLAND;60.181987;23.9496
10000810;LOHJA;FINNLAND;60.251176;24.067471
